Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM3072327	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072327_raw.fastq.gz	GeneLab raw data processing protocol	10696810	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072327_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072327_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072327_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072327_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072327_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072327_SJ.out.tab	GLDS-510_rna_seq_GSM3072327_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072327.genes.results,GLDS-510_rna_seq_GSM3072327.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072328	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072328_raw.fastq.gz	GeneLab raw data processing protocol	8857321	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072328_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072328_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072328_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072328_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072328_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072328_SJ.out.tab	GLDS-510_rna_seq_GSM3072328_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072328.genes.results,GLDS-510_rna_seq_GSM3072328.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072329	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072329_raw.fastq.gz	GeneLab raw data processing protocol	10669259	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.37	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072329_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072329_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072329_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072329_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072329_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072329_SJ.out.tab	GLDS-510_rna_seq_GSM3072329_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072329.genes.results,GLDS-510_rna_seq_GSM3072329.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072330	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072330_raw.fastq.gz	GeneLab raw data processing protocol	9099219	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072330_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072330_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072330_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072330_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072330_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072330_SJ.out.tab	GLDS-510_rna_seq_GSM3072330_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072330.genes.results,GLDS-510_rna_seq_GSM3072330.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072331	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072331_raw.fastq.gz	GeneLab raw data processing protocol	11411086	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072331_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072331_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072331_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072331_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072331_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072331_SJ.out.tab	GLDS-510_rna_seq_GSM3072331_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072331.genes.results,GLDS-510_rna_seq_GSM3072331.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072332	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072332_raw.fastq.gz	GeneLab raw data processing protocol	9718987	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072332_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072332_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072332_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072332_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072332_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072332_SJ.out.tab	GLDS-510_rna_seq_GSM3072332_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072332.genes.results,GLDS-510_rna_seq_GSM3072332.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072333	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072333_raw.fastq.gz	GeneLab raw data processing protocol	14662084	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072333_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072333_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072333_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072333_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072333_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072333_SJ.out.tab	GLDS-510_rna_seq_GSM3072333_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072333.genes.results,GLDS-510_rna_seq_GSM3072333.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072334	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072334_raw.fastq.gz	GeneLab raw data processing protocol	15438627	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072334_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072334_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072334_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072334_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072334_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072334_SJ.out.tab	GLDS-510_rna_seq_GSM3072334_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072334.genes.results,GLDS-510_rna_seq_GSM3072334.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072335	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072335_raw.fastq.gz	GeneLab raw data processing protocol	14578474	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072335_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072335_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072335_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072335_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072335_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072335_SJ.out.tab	GLDS-510_rna_seq_GSM3072335_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072335.genes.results,GLDS-510_rna_seq_GSM3072335.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072336	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072336_raw.fastq.gz	GeneLab raw data processing protocol	8578322	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072336_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072336_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072336_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072336_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072336_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072336_SJ.out.tab	GLDS-510_rna_seq_GSM3072336_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072336.genes.results,GLDS-510_rna_seq_GSM3072336.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072337	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072337_raw.fastq.gz	GeneLab raw data processing protocol	7507867	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072337_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072337_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072337_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072337_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072337_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072337_SJ.out.tab	GLDS-510_rna_seq_GSM3072337_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072337.genes.results,GLDS-510_rna_seq_GSM3072337.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072338	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072338_raw.fastq.gz	GeneLab raw data processing protocol	8293460	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072338_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072338_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072338_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072338_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072338_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072338_SJ.out.tab	GLDS-510_rna_seq_GSM3072338_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072338.genes.results,GLDS-510_rna_seq_GSM3072338.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072339	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072339_raw.fastq.gz	GeneLab raw data processing protocol	8600470	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072339_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072339_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072339_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072339_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072339_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072339_SJ.out.tab	GLDS-510_rna_seq_GSM3072339_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072339.genes.results,GLDS-510_rna_seq_GSM3072339.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072340	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072340_raw.fastq.gz	GeneLab raw data processing protocol	10297454	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072340_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072340_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072340_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072340_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072340_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072340_SJ.out.tab	GLDS-510_rna_seq_GSM3072340_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072340.genes.results,GLDS-510_rna_seq_GSM3072340.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072341	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072341_raw.fastq.gz	GeneLab raw data processing protocol	11660855	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072341_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072341_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072341_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072341_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072341_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072341_SJ.out.tab	GLDS-510_rna_seq_GSM3072341_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072341.genes.results,GLDS-510_rna_seq_GSM3072341.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
